S.no,Location,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2005,2000,1995,1990,1980,1970,1960,1950,Peak production [20][21][18] [24][19][22][7],Peak year
30,Portugal,318231,322404,289954,264236,345704,294366,175544,143096,156626,161509,154016,163561,192242,158723,226834,245784,57000,"26,000",91000,,,,345704,2019
31,Taiwan,285962,261263,265320,245615,251304,253241,291563,309531,351085,379223,338720,339038,343296,303456,446345,361800,406000,"382,000",132116,,,,446345,2005
32,Sweden,276750,238955,257446,258000,249000,279000,291000,226000,205374,"188,987","154,173","161,080","162,814","188,969",217084,339229,301343,490000,"344,000",317000,311000,129000,494000,1999
33,Vietnam,177435,232410,"163,250 [citation needed]","165,568 [citation needed]","250,000 [citation needed]","237,000 [citation needed]","236,161",236161,"50,000",48871,"37,576","40,470",31181,42286,"31,600","6,862",,,,,,,250000,2019
34,Kazakhstan,146989,112540,92417,74831,49400,31545,19071,10651,14477,40162,40684,19186,8195,3176,,,,,,,,,146989,2023
35,Netherlands,123379,101670,107021,127058,176113,214000,157280,"44,430","44,122","29,807",29183,57462,"73,151",94132,102204,98823,132000,"111,000",97000,79000,19000,,307220,1999
36,Austria,114191,107500,136700,104544,179400,164900,99880,"108,000","125,500","154,340","166,428","143,060",152505,104814,253279,141026,68000,"20,000",14000,7000,13000,,274932,2006
37,Philippines,110350,92223,85874,67297,95094,79763,141251,116686,"112,493",106938,"52,260","55,360",53921,65625,64492,38877,107000,,,,,,213402,2007
38,Pakistan,79513,235454,238702,117375,186751,269700,250800,214650,229686,148746,134145,165700,162194,152970,153393,31500,,,,,,,418500,2021
39,Slovenia,60881,68130,95797,141714,199102,209378,189852,133702,133092,118591,93734,130949,174119,205711,187247,98953,,,,,,,212749,2009
40,Colombia,34700,51455,40764,47281,78020,75476,74994,"79,036","78,070",71137,"70,686",32466,41714,109333,"23,979",,"34,850",43000,,,,,109333,2010
41,Finland,30191,73044,93172,86270,114785,112104,91598,"55,280","69,053","45,035",7703,"2,900",2540,6665,21644,38926,,,,,,,114785,2019
42,Australia,7141,6077,5391,4730,5606,6371,98632,161294,173009,180311,215926,209730,224193,243495,394713,347122,331000,"284,000",361000,475000,204000,58000,498000,1974
43,Azerbaijan,4649,2049,2173,1949,2360,1453,247,415,2145,669,,,,,,,,,,,,,6397,2024
44,Algeria,2456,2773,5208,754,60012,70597,60606,42008,19346,1244,0,,,,,,,,,,,,70597,2018
45,Ukraine,1993,1490,8153,4952,7266,6623,9542,5264,8244,28751,50449,76281,104654,83133,215759,31255,"67,400 [circular reference]",,206700,115700,7500,18300,423127,2008
46,Myanmar,1475,,1957,10753,15496,,,,,,,,,,,,,,,,,,15496,2019
47,Serbia,186,4498,21263,23375,35115,56449,79912,80320,"83,630",103150,113878,11032,11023,18033,14179,12740,,,,,,,??,1988
,North Korea,,2000,2000,2000,2000,3000,3000,4000,4000,4000,4000,4000,4000,4000,5000,7000,9000,13000,,,,3000,??,??
